PN,Name,Price,Price Origin,Screen Size,CPU,RAM,Hard Drive,Graphic Card,Weight,Rating,Rating detail,Rating Count,Comment Count
70253900,Dell Vostro V3400 i5 1135G7/70253900,18899000,18899000,"14.0""",Core i5,8 GB,SSD 256 GB,Intel UHD Graphics,1.86,5,"['1', '0', '0', '0', '0']",1,242
852VN,MSI Modern 14 B11MOU 852VN i5 1155G7/852VN,18799000,18799000,"14.0""",Core i5,8 GB,SSD 512 GB,Intel UHD Graphics,1.3,5,"['1', '0', '0', '0', '0']",1,105
46L79PA,HP Pavilion 14 dv0510TU i5 1135G7/46L79PA,18699000,18699000,"14.0""",Core i5,8 GB,SSD 512 GB,Intel Iris Xe Graphics,1.41,5,"['1', '0', '0', '0', '0']",1,13
518V7PA,HP 240 G8 i5 1135G7/518V7PA,18499000,18499000,"14.0""",Core i5,8 GB,SSD 512 GB,Intel Iris Xe Graphics,1.42,5,"['1', '0', '0', '0', '0']",1,64
V4R53500U003W,Dell Vostro V3405 R5 3500U,18499000,18499000,"14.0""",Ryzen 5,8 GB,SSD 512 GB,AMD Radeon Graphics,1.79,5,"['1', '0', '0', '0', '0']",1,494
82H80044VN,Lenovo IdeaPad Slim 3 15ITL6 i5 1135G7,17999000,17999000,"15.6""",Core i5,8 GB,SSD 512 GB,Intel Iris Xe Graphics,1.65,5,"['1', '0', '0', '0', '0']",1,177
90NB0TY1-M23210,Asus VivoBook X515EA-BR1409T/i5-1135G7,17590000,17590000,"15.6""",Core i5,8 GB,nan,Intel Iris Xe Graphics,1.8,5,"['1', '0', '0', '0', '0']",1,1
NS14A9VNV561-ABA,Avita Liber NS14A9 R5 4500U/NS14A9VNV561-ABA,17499000,17999000,"14.0""",Ryzen 5,8 GB,SSD 512 GB,AMD Radeon RX Graphics,1.3,5,"['1', '0', '0', '0', '0']",1,16
518V6PA,HP 240 G8 i5 1135G7,17499000,17499000,"14.0""",Core i5,8 GB,SSD 256 GB,Intel Xe Graphics,1.42,5,"['1', '0', '0', '0', '0']",1,929
NS14A9VNV561-UGA,Avita Liber NS14A9 R5 4500U/NS14A9VNV561-UGA,17399000,17999000,"14.0""",Ryzen 5,8 GB,SSD 512 GB,Radeon RX Graphics,1.3,5,"['1', '0', '0', '0', '0']",1,27
062VN,MSI Modern 14 B5M R5 5500U/062VN,17299000,17299000,"14.0""",Ryzen 5,8 GB,SSD 512 GB,AMD Radeon Graphics,1.3,5,"['2', '0', '0', '0', '0']",2,1430
2H3L1PA,HP Pavilion 14 dv0042TU i5-1135G7,17190000,17490000,"14.0""",Core i5,8 GB,SSD 256 GB,Intel Iris Xe Graphics,1.41,5,"['1', '0', '0', '0', '0']",1,86
82H7003UVN,Lenovo IdeaPad Slim 3 14ITL6 i5 1135G7,16999000,16999000,"14.0""",Core i5,8 GB,nan,Intel Iris Xe Graphics,1.41,5,"['1', '0', '0', '0', '0']",1,327
2020,Dell Inspiron N3505 R5 3450U,16999000,17999000,"15.6""",Ryzen 5,8 GB,SSD 256 GB,AMD Radeon Graphics,1.98,5,"['1', '0', '0', '0', '0']",1,72
